lsgi_code_ward_number,sec_kerala_code,lsgi_name,ward_number,ward_name,elected_representative,district,lsgi_type,winning_party,winning_front,votes,year
G10053_17,G10053,Puzhakkatiri,17,Padapparambu,Ali P K,Malappuram,Grama Panchayat,IUML,UDF,587,2025
G10053_18,G10053,Puzhakkatiri,18,Kattilasseri South,Thasleema Chakkachan,Malappuram,Grama Panchayat,INC,UDF,609,2025
G10053_19,G10053,Puzhakkatiri,19,Ramapuram South,Noushad C M,Malappuram,Grama Panchayat,IUML,UDF,991,2025
G10090_1,G10090,Thalakkad,1,Mangattiri,K Rakesh,Malappuram,Grama Panchayat,CPI(M),LDF,476,2025
G10090_2,G10090,Thalakkad,2,Kattachira,Hajara Ibrahim,Malappuram,Grama Panchayat,IUML,UDF,745,2025
G10090_3,G10090,Thalakkad,3,Karayil,Musnitha Teacher,Malappuram,Grama Panchayat,IND,OTH,847,2025
G10090_4,G10090,Thalakkad,4,Kuttiyal,V P Mubarak,Malappuram,Grama Panchayat,IUML,UDF,777,2025
G10090_5,G10090,Thalakkad,5,Pullur,Safiya,Malappuram,Grama Panchayat,IUML,UDF,848,2025
G10090_6,G10090,Thalakkad,6,Pullural,Shaini,Malappuram,Grama Panchayat,CPI(M),LDF,763,2025
G10090_7,G10090,Thalakkad,7,Kanhirikkol,Rahila K,Malappuram,Grama Panchayat,IUML,UDF,751,2025
G10090_8,G10090,Thalakkad,8,Vadakkan Kuttoor,Vijesh,Malappuram,Grama Panchayat,CPI(M),LDF,695,2025
G10090_9,G10090,Thalakkad,9,Alloor Road,Fathima Siddheekh,Malappuram,Grama Panchayat,IUML,UDF,564,2025
G10090_10,G10090,Thalakkad,10,Thekkan Kuttoor,Mufeeda Thayyil,Malappuram,Grama Panchayat,IUML,UDF,532,2025
G10090_11,G10090,Thalakkad,11,Mukkilapeedika,Rajesh,Malappuram,Grama Panchayat,CPI(M),LDF,477,2025
G10090_12,G10090,Thalakkad,12,Vengaloor,Sabarinath (Aniyan),Malappuram,Grama Panchayat,INC,UDF,907,2025
G10090_13,G10090,Thalakkad,13,Koloopalam,Fausiya,Malappuram,Grama Panchayat,IND,OTH,538,2025
G10090_14,G10090,Thalakkad,14,Kottathara,Ratheesh,Malappuram,Grama Panchayat,INC,UDF,726,2025
G10090_15,G10090,Thalakkad,15,B P Angadi Town,Sherbeena,Malappuram,Grama Panchayat,IUML,UDF,563,2025
G10090_16,G10090,Thalakkad,16,Kuttippala,Bhanumol,Malappuram,Grama Panchayat,IUML,UDF,633,2025
G10090_17,G10090,Thalakkad,17,Parasheri East,Ramanali Jamal,Malappuram,Grama Panchayat,CPI(M),LDF,495,2025
G10090_18,G10090,Thalakkad,18,Parasheri West,Nasarul Islam,Malappuram,Grama Panchayat,CPI(M),LDF,444,2025
G10090_19,G10090,Thalakkad,19,Pookaitha,Khalid,Malappuram,Grama Panchayat,IUML,UDF,445,2025
G10090_20,G10090,Thalakkad,20,B P Angadi,C P Bapputty,Malappuram,Grama Panchayat,IND,OTH,380,2025
G10090_21,G10090,Thalakkad,21,Vadakke Angaadi,N Ravi,Malappuram,Grama Panchayat,BJP,NDA,428,2025
G10090_22,G10090,Thalakkad,22,Kallookadavu,Anitha,Malappuram,Grama Panchayat,CPI(M),LDF,541,2025
G10069_1,G10069,Thanalur,1,Moolakkal,Askkar Mash,Malappuram,Grama Panchayat,IUML,UDF,639,2025
G10069_2,G10069,Thanalur,2,Devadhar,Pushpalatha (Baby),Malappuram,Grama Panchayat,INC,UDF,677,2025
G10069_3,G10069,Thanalur,3,Puthentheru,Fathima Beevi,Malappuram,Grama Panchayat,INC,UDF,838,2025
G10069_4,G10069,Thanalur,4,Pandiyatu,A V Abdul Razack,Malappuram,Grama Panchayat,IUML,UDF,1019,2025
G10069_5,G10069,Thanalur,5,Parengath,Yehya Nechiyengal,Malappuram,Grama Panchayat,IUML,UDF,993,2025
G10069_6,G10069,Thanalur,6,Tharayil,Asma,Malappuram,Grama Panchayat,INC,UDF,958,2025
G10069_7,G10069,Thanalur,7,Theendapara,Thottiyi Sajitha Teacher,Malappuram,Grama Panchayat,INC,UDF,735,2025
G10069_8,G10069,Thanalur,8,Pakara North,Muhiyudheen,Malappuram,Grama Panchayat,IND,OTH,636,2025
G10069_9,G10069,Thanalur,9,Thavalaamkunnu,Vadakkiniyedath Raihanath,Malappuram,Grama Panchayat,IUML,UDF,821,2025
G10069_10,G10069,Thanalur,10,Areekkad,Saithalavi,Malappuram,Grama Panchayat,IUML,UDF,785,2025
G10069_11,G10069,Thanalur,11,Areekkad Nirappu,V Rasiya,Malappuram,Grama Panchayat,IUML,UDF,718,2025
G10069_12,G10069,Thanalur,12,Pakara South,Hrishikesh,Malappuram,Grama Panchayat,IND,OTH,833,2025
G10069_13,G10069,Thanalur,13,Meenadathoor East,Muhammed Aslam,Malappuram,Grama Panchayat,IUML,UDF,902,2025
G10069_14,G10069,Thanalur,14,Meenadathoor West,Sameer Thuruvaayil,Malappuram,Grama Panchayat,CPI(M),LDF,753,2025
G10069_15,G10069,Thanalur,15,Moochikkal,C . Jineesh,Malappuram,Grama Panchayat,CPI(M),LDF,503,2025
G10069_16,G10069,Thanalur,16,Valiyapadam,T K Naseer,Malappuram,Grama Panchayat,IUML,UDF,1128,2025
G10069_17,G10069,Thanalur,17,Thanalur,Velliyath Mubashira Binsy,Malappuram,Grama Panchayat,CPI(M),LDF,720,2025
G10069_18,G10069,Thanalur,18,Vattathani,Thattatt Usha Teacher,Malappuram,Grama Panchayat,CPI(M),LDF,616,2025
G10069_19,G10069,Thanalur,19,Companipadi,Jyothi P,Malappuram,Grama Panchayat,INC,UDF,782,2025
G10069_20,G10069,Thanalur,20,Puthukulangara,Ajitha,Malappuram,Grama Panchayat,IND,OTH,595,2025
G10069_21,G10069,Thanalur,21,Pattaruparamba,Pushpalatha Valiyath,Malappuram,Grama Panchayat,CPI(M),LDF,624,2025
G10069_22,G10069,Thanalur,22,Kundungal South,Salma (K  Salmath),Malappuram,Grama Panchayat,IUML,UDF,809,2025
G10069_23,G10069,Thanalur,23,Kundungal,Kaderkutty Visharath,Malappuram,Grama Panchayat,CPI(M),LDF,751,2025
G10069_24,G10069,Thanalur,24,Keraladheeshwerapuram,Suja Edappayil,Malappuram,Grama Panchayat,CPI(M),LDF,575,2025
G10092_1,G10092,Thavanur,1,Thavanur,Sivadas (Babu),Malappuram,Grama Panchayat,CPI(M),LDF,518,2025
G10092_2,G10092,Thavanur,2,Thavanur South,Soumya Vinod,Malappuram,Grama Panchayat,CPI(M),LDF,573,2025
G10092_3,G10092,Thavanur,3,Moovankara,P V Sreenivasan,Malappuram,Grama Panchayat,CPI(M),LDF,504,2025
G10092_4,G10092,Thavanur,4,Kadakassery North,Asharaf,Malappuram,Grama Panchayat,IUML,UDF,673,2025
G10092_5,G10092,Thavanur,5,Kadakassery,Muthu M K,Malappuram,Grama Panchayat,IND,OTH,529,2025
G10092_6,G10092,Thavanur,6,Vellanchery South,K K Maimuna,Malappuram,Grama Panchayat,IND,OTH,433,2025
G10092_7,G10092,Thavanur,7,Vellanchery,P Mohandas,Malappuram,Grama Panchayat,CPI(M),LDF,643,2025
G10092_8,G10092,Thavanur,8,Madhirassery,Aboobacker  Sidheekh,Malappuram,Grama Panchayat,IUML,UDF,496,2025
G10092_9,G10092,Thavanur,9,Koorada,Muhammed  Shafi K K,Malappuram,Grama Panchayat,IUML,UDF,350,2025
G10092_10,G10092,Thavanur,10,Thrikkanapuram West,Jijini,Malappuram,Grama Panchayat,IUML,UDF,644,2025
G10092_11,G10092,Thavanur,11,Thrikkanapuram East,Abdul Jaleel,Malappuram,Grama Panchayat,IUML,UDF,481,2025
G10092_12,G10092,Thavanur,12,Kanjirakutty,Divya Vasudev A,Malappuram,Grama Panchayat,IUML,UDF,530,2025
G10092_13,G10092,Thavanur,13,Kacheriparambu,Fahad,Malappuram,Grama Panchayat,CPI(M),LDF,453,2025
G10092_14,G10092,Thavanur,14,Maravanchery East,A T Sajitha,Malappuram,Grama Panchayat,IUML,UDF,633,2025
G10092_15,G10092,Thavanur,15,Maravanchery,Deepthi Dileesh,Malappuram,Grama Panchayat,CPI(M),LDF,493,2025
G10092_16,G10092,Thavanur,16,Kallur,Premalatha A K,Malappuram,Grama Panchayat,CPI(M),LDF,463,2025
G10092_17,G10092,Thavanur,17,Ayankalam,Bindu,Malappuram,Grama Panchayat,IUML,UDF,606,2025
G10092_18,G10092,Thavanur,18,Anthyalamkudam,N T Vasudevan,Malappuram,Grama Panchayat,CPI(M),LDF,420,2025
G10092_19,G10092,Thavanur,19,Athaloor,Sunitha C,Malappuram,Grama Panchayat,INC,UDF,838,2025
G10092_20,G10092,Thavanur,20,Mathoor,Rahmath,Malappuram,Grama Panchayat,IUML,UDF,541,2025
G10092_21,G10092,Thavanur,21,Mattam,Chembayil Rafeekkath,Malappuram,Grama Panchayat,INC,UDF,652,2025
G10047_1,G10047,Thazhekkode,1,Panambi,Sheeja,Malappuram,Grama Panchayat,CPI(M),LDF,671,2025
G10047_2,G10047,Thazhekkode,2,Kodikuthi,Rahmath,Malappuram,Grama Panchayat,IUML,UDF,810,2025
G10047_3,G10047,Thazhekkode,3,Amminikkad,Husain,Malappuram,Grama Panchayat,IUML,UDF,753,2025
G10047_4,G10047,Thazhekkode,4,Kappumugham,Yasar K,Malappuram,Grama Panchayat,IUML,UDF,791,2025
G10047_5,G10047,Thazhekkode,5,Marambattakunnu,Shemeerali,Malappuram,Grama Panchayat,IUML,UDF,624,2025
G10047_6,G10047,Thazhekkode,6,Malankada,Muhammed Fathah,Malappuram,Grama Panchayat,IUML,UDF,779,2025
G10047_7,G10047,Thazhekkode,7,Pallikkunnu,Muhammed Asharaf,Malappuram,Grama Panchayat,IUML,UDF,494,2025
G10047_8,G10047,Thazhekkode,8,Punnamanna,Muhammad Abdul Nafih,Malappuram,Grama Panchayat,CPI(M),LDF,667,2025
G10047_9,G10047,Thazhekkode,9,Kombakkalkunnu,Jasna,Malappuram,Grama Panchayat,IUML,UDF,564,2025
G10047_10,G10047,Thazhekkode,10,Kunnathuvatta,Suneera,Malappuram,Grama Panchayat,IUML,UDF,742,2025
G10047_11,G10047,Thazhekkode,11,Kanhirithadam,Balachanthran,Malappuram,Grama Panchayat,IUML,UDF,723,2025
G10047_12,G10047,Thazhekkode,12,Ongode,Abussabah Vp,Malappuram,Grama Panchayat,IUML,UDF,793,2025
G10047_13,G10047,Thazhekkode,13,Madampara,Divya,Malappuram,Grama Panchayat,INC,UDF,734,2025
G10047_14,G10047,Thazhekkode,14,Manthonikunnu,Fathimath Suhara,Malappuram,Grama Panchayat,IUML,UDF,564,2025
G10047_15,G10047,Thazhekkode,15,Mattarakkal,Jisha,Malappuram,Grama Panchayat,CPI(M),LDF,661,2025
G10047_16,G10047,Thazhekkode,16,Nelliparamba,Naseema,Malappuram,Grama Panchayat,IUML,UDF,852,2025
G10047_17,G10047,Thazhekkode,17,Karinkallathani,Moiduppu,Malappuram,Grama Panchayat,CPI(M),LDF,675,2025
G10047_18,G10047,Thazhekkode,18,Kappuparamba,Sheela,Malappuram,Grama Panchayat,CPI(M),LDF,640,2025
G10047_19,G10047,Thazhekkode,19,Puvvathani,Nasar,Malappuram,Grama Panchayat,CPI(M),LDF,597,2025
G10047_20,G10047,Thazhekkode,20,Thazhekkode,Jameela,Malappuram,Grama Panchayat,IUML,UDF,673,2025
G10047_21,G10047,Thazhekkode,21,Muthiramanna,Haseena,Malappuram,Grama Panchayat,IND,OTH,736,2025
G10047_22,G10047,Thazhekkode,22,Maruthala,Reena,Malappuram,Grama Panchayat,IUML,UDF,840,2025
G10047_23,G10047,Thazhekkode,23,Athikkal,Sooppy,Malappuram,Grama Panchayat,CPI(M),LDF,774,2025
G10047_24,G10047,Thazhekkode,24,Pathaikkara,Muhammadali,Malappuram,Grama Panchayat,IUML,UDF,691,2025
G10082_1,G10082,Thenhippalam,1,Kadakkattupara,Sainul Abid ( Kunjutty ),Malappuram,Grama Panchayat,IUML,UDF,500,2025
G10082_2,G10082,Thenhippalam,2,Manikulathuparambu,Hariharan,Malappuram,Grama Panchayat,INC,UDF,604,2025
G10082_3,G10082,Thenhippalam,3,Illath,Ambika Gopalan,Malappuram,Grama Panchayat,INC,UDF,581,2025
G10082_4,G10082,Thenhippalam,4,Elambulasseri,Jayakrishnan.T,Malappuram,Grama Panchayat,INC,UDF,396,2025
G10082_5,G10082,Thenhippalam,5,University,Anisha Sivadasan,Malappuram,Grama Panchayat,CPI(M),LDF,381,2025
G10082_6,G10082,Thenhippalam,6,Kohinoor,Anvar Mash.P.V,Malappuram,Grama Panchayat,INC,UDF,447,2025
G10082_7,G10082,Thenhippalam,7,Devathiyal,Naseema Yoonus,Malappuram,Grama Panchayat,IUML,UDF,374,2025
G10082_8,G10082,Thenhippalam,8,Koyappa,Kanakalatha Parampatheeri,Malappuram,Grama Panchayat,INC,UDF,498,2025
G10082_9,G10082,Thenhippalam,9,Neerolpalam,Sirajudheen Chalakkal,Malappuram,Grama Panchayat,IUML,UDF,673,2025
G10082_10,G10082,Thenhippalam,10,Punjappadam,Shahana Jamsheer,Malappuram,Grama Panchayat,IUML,UDF,470,2025
G10082_11,G10082,Thenhippalam,11,Chullottuparambu,Reeja Madhu,Malappuram,Grama Panchayat,CPI(M),LDF,593,2025
G10082_12,G10082,Thenhippalam,12,Panambra,Sudheesh ( Kuttan ),Malappuram,Grama Panchayat,IUML,UDF,579,2025
G10082_13,G10082,Thenhippalam,13,Nethaji,Firoz,Malappuram,Grama Panchayat,IUML,UDF,426,2025
G10082_14,G10082,Thenhippalam,14,Puthuvayapotta,Piyoosh Andisseri,Malappuram,Grama Panchayat,INC,UDF,586,2025
G10082_15,G10082,Thenhippalam,15,Alungal,Shareefa Aseez Medappil,Malappuram,Grama Panchayat,IUML,UDF,658,2025
G10082_16,G10082,Thenhippalam,16,Mathapuzha,K.M.Basheer ( Bava ),Malappuram,Grama Panchayat,IUML,UDF,659,2025
G10082_17,G10082,Thenhippalam,17,Kolathodu,Niha Fathima Tp,Malappuram,Grama Panchayat,IUML,UDF,733,2025
G10082_18,G10082,Thenhippalam,18,Areepara,Musthafa Medappil,Malappuram,Grama Panchayat,IUML,UDF,817,2025
G10082_19,G10082,Thenhippalam,19,Chenakkalangadi,Afsath  Beevi,Malappuram,Grama Panchayat,IUML,UDF,619,2025
G10082_20,G10082,Thenhippalam,20,Padattal,Arifa.K,Malappuram,Grama Panchayat,IUML,UDF,823,2025
G10074_1,G10074,Thennela,1,Kodakkallu,Sayed Ali Majeed,Malappuram,Grama Panchayat,IND,OTH,666,2025
G10074_2,G10074,Thennela,2,Kuttikkattupara,Rabiya,Malappuram,Grama Panchayat,IUML,UDF,599,2025
G10074_3,G10074,Thennela,3,Thachammad,Ubaid,Malappuram,Grama Panchayat,IUML,UDF,605,2025
G10074_4,G10074,Thennela,4,Apla,Sareef Vadakkayil,Malappuram,Grama Panchayat,IUML,UDF,659,2025
G10074_5,G10074,Thennela,5,Pookkipparamba,Samanudheen Mankada,Malappuram,Grama Panchayat,IUML,UDF,530,2025
G10074_6,G10074,Thennela,6,Perumbuzha,K. P. Anvar,Malappuram,Grama Panchayat,IUML,UDF,605,2025
G10074_7,G10074,Thennela,7,Parammal,Ummu Jumana Palassery,Malappuram,Grama Panchayat,IND,OTH,575,2025
G10074_8,G10074,Thennela,8,Kulangara,Sulaikha,Malappuram,Grama Panchayat,IUML,UDF,614,2025
G10074_9,G10074,Thennela,9,Valakkulam,Muhammadkoya,Malappuram,Grama Panchayat,IUML,UDF,663,2025
G10074_10,G10074,Thennela,10,Thoombathparamba,Hajara Thayyil,Malappuram,Grama Panchayat,IUML,UDF,599,2025
G10074_11,G10074,Thennela,11,Kundukulam,Thafsira Jasmi,Malappuram,Grama Panchayat,IUML,UDF,585,2025
G10074_12,G10074,Thennela,12,Kozhichena,Suhrabi,Malappuram,Grama Panchayat,IUML,UDF,445,2025
G10074_13,G10074,Thennela,13,Karthal,Baburaj,Malappuram,Grama Panchayat,INC,UDF,629,2025
G10074_14,G10074,Thennela,14,Arakkal,Farisana Mol V A,Malappuram,Grama Panchayat,IUML,UDF,614,2025
G10074_15,G10074,Thennela,15,Chemmerippara,Fathima Jasmin A C,Malappuram,Grama Panchayat,IND,OTH,483,2025
G10074_16,G10074,Thennela,16,Appiyath,Kadeeja,Malappuram,Grama Panchayat,IND,OTH,514,2025
G10074_17,G10074,Thennela,17,Thennala,Fahida (Fahida Ibrahim),Malappuram,Grama Panchayat,INC,UDF,672,2025
G10074_18,G10074,Thennela,18,West Bazar,Akbar,Malappuram,Grama Panchayat,IUML,UDF,608,2025
G10074_19,G10074,Thennela,19,Alungal,Ismail,Malappuram,Grama Panchayat,CPI(M),LDF,516,2025
G10091_1,G10091,Thirunavaya,1,Medippara,Shamsuddheen,Malappuram,Grama Panchayat,IUML,UDF,624,2025
G10091_2,G10091,Thirunavaya,2,Cherural,Haseena,Malappuram,Grama Panchayat,IUML,UDF,756,2025
G10091_3,G10091,Thirunavaya,3,Kaithakkara,Rubeena K,Malappuram,Grama Panchayat,CPI(M),LDF,459,2025
G10091_4,G10091,Thirunavaya,4,Muttikad,Shameela Mol. K,Malappuram,Grama Panchayat,IUML,UDF,995,2025
G10091_5,G10091,Thirunavaya,5,Pattarnadakkavu,Theyyan,Malappuram,Grama Panchayat,IUML,UDF,872,2025
G10091_6,G10091,Thirunavaya,6,Konnallur,Abdul Asees,Malappuram,Grama Panchayat,IUML,UDF,820,2025
G10091_7,G10091,Thirunavaya,7,Kattilangadi,Muhammedshafi,Malappuram,Grama Panchayat,IUML,UDF,866,2025
G10091_8,G10091,Thirunavaya,8,Valiyaparapoor,Sakeer M,Malappuram,Grama Panchayat,IND,OTH,690,2025
G10091_9,G10091,Thirunavaya,9,Pattarnadakkavu East,Latheef Pallath,Malappuram,Grama Panchayat,IUML,UDF,618,2025
G10091_10,G10091,Thirunavaya,10,Kadanangadi,Raseena,Malappuram,Grama Panchayat,IUML,UDF,646,2025
G10091_11,G10091,Thirunavaya,11,Thazhathara,Velayudhan,Malappuram,Grama Panchayat,CPI(M),LDF,543,2025
G10091_12,G10091,Thirunavaya,12,Thirunavaya,Rasiya,Malappuram,Grama Panchayat,CPI(M),LDF,582,2025
G10091_13,G10091,Thirunavaya,13,Vavoorkunnu,Sathyanathan,Malappuram,Grama Panchayat,INC,UDF,815,2025
G10091_14,G10091,Thirunavaya,14,Codacal,Sabitha,Malappuram,Grama Panchayat,IND,OTH,524,2025
G10091_15,G10091,Thirunavaya,15,Ajithapadi,Muhammed  Koya,Malappuram,Grama Panchayat,IUML,UDF,697,2025
G10091_16,G10091,Thirunavaya,16,Karathur South,Musthafa U V,Malappuram,Grama Panchayat,CPI(M),LDF,525,2025
G10091_17,G10091,Thirunavaya,17,Karathur,Mumthas,Malappuram,Grama Panchayat,IUML,UDF,734,2025
G10091_18,G10091,Thirunavaya,18,South Pallar,Farsana,Malappuram,Grama Panchayat,IUML,UDF,839,2025
G10091_19,G10091,Thirunavaya,19,Edakkulam,Abdul Vahab,Malappuram,Grama Panchayat,IUML,UDF,744,2025
G10091_20,G10091,Thirunavaya,20,Kunnumpuram,Fathima,Malappuram,Grama Panchayat,IND,OTH,766,2025
G10091_21,G10091,Thirunavaya,21,Choondikkal,Bushra,Malappuram,Grama Panchayat,IUML,UDF,875,2025
G10091_22,G10091,Thirunavaya,22,Vairancode,Ratheeshkumar,Malappuram,Grama Panchayat,CPI(M),LDF,488,2025
G10091_23,G10091,Thirunavaya,23,Kuthukallu,Hannath,Malappuram,Grama Panchayat,INC,UDF,602,2025
G10091_24,G10091,Thirunavaya,24,Kandampara,Fathimma Suhara,Malappuram,Grama Panchayat,IUML,UDF,630,2025
G10017_1,G10017,Thiruvali,1,Illathukunnu,Sasi Puthukkodan,Malappuram,Grama Panchayat,INC,UDF,533,2025
G10017_2,G10017,Thiruvali,2,Karngalloor,Beena,Malappuram,Grama Panchayat,CPI(M),LDF,642,2025
G10017_3,G10017,Thiruvali,3,Thayamgode,Naseem,Malappuram,Grama Panchayat,INC,UDF,752,2025
G10017_4,G10017,Thiruvali,4,Padakaliparamb,P Narayanan,Malappuram,Grama Panchayat,CPI(M),LDF,610,2025
G10017_5,G10017,Thiruvali,5,Naduvath,P K Shinimol,Malappuram,Grama Panchayat,CPI(M),LDF,499,2025
G10017_6,G10017,Thiruvali,6,A K G Nagar,V K Baby,Malappuram,Grama Panchayat,CPI(M),LDF,623,2025
G10017_7,G10017,Thiruvali,7,Chadangamkulam,Soumya Vineeth,Malappuram,Grama Panchayat,INC,UDF,462,2025
G10017_8,G10017,Thiruvali,8,Kandamangalam,Sajna  Teacher,Malappuram,Grama Panchayat,IND,OTH,606,2025
G10017_9,G10017,Thiruvali,9,Eriyad,Safwana Sheri P,Malappuram,Grama Panchayat,INC,UDF,706,2025
G10017_10,G10017,Thiruvali,10,Valoringal,Jayesh,Malappuram,Grama Panchayat,CPI(M),LDF,694,2025
G10017_11,G10017,Thiruvali,11,Poolakkal,Midhunraj (Midhun Mash),Malappuram,Grama Panchayat,IND,OTH,671,2025
G10017_12,G10017,Thiruvali,12,Kottakunnu,Praneesh,Malappuram,Grama Panchayat,INC,UDF,636,2025
G10017_13,G10017,Thiruvali,13,Punnappala,Fajis,Malappuram,Grama Panchayat,IND,OTH,693,2025
G10017_14,G10017,Thiruvali,14,Thiruvali,Meenakshi,Malappuram,Grama Panchayat,CPI(M),LDF,741,2025
G10017_15,G10017,Thiruvali,15,Thodayam,Usha,Malappuram,Grama Panchayat,IND,OTH,549,2025
G10017_16,G10017,Thiruvali,16,Vattaparamb,Sheeba,Malappuram,Grama Panchayat,IND,OTH,474,2025
G10017_17,G10017,Thiruvali,17,Madasseri,Najeeb (Nanippa),Malappuram,Grama Panchayat,IUML,UDF,752,2025
G10017_18,G10017,Thiruvali,18,Pathiriyal,Thariyan Suma,Malappuram,Grama Panchayat,INC,UDF,716,2025
G10017_19,G10017,Thiruvali,19,Sharathkunnu,Alavikutti Kattekkadan,Malappuram,Grama Panchayat,INC,UDF,535,2025
G10021_1,G10021,Thrikkalangode,1,Pulingottupuram,Abdul Nazer,Malappuram,Grama Panchayat,INC,UDF,936,2025
G10021_2,G10021,Thrikkalangode,2,Amayoor,Saijal,Malappuram,Grama Panchayat,IUML,UDF,1094,2025
G10021_3,G10021,Thrikkalangode,3,Kandalappatta,Abdul Majeed Palakkal,Malappuram,Grama Panchayat,INC,UDF,816,2025
G10021_4,G10021,Thrikkalangode,4,Cherupalli,Abdul Muneer,Malappuram,Grama Panchayat,INC,UDF,831,2025
G10021_5,G10021,Thrikkalangode,5,Karakkunnu Junction,Muhammed,Malappuram,Grama Panchayat,IUML,UDF,1405,2025
G10021_6,G10021,Thrikkalangode,6,Karakkunnu 34,Sajjad,Malappuram,Grama Panchayat,CPI(M),LDF,840,2025
G10021_7,G10021,Thrikkalangode,7,Pazhedam,Sreedevi,Malappuram,Grama Panchayat,IUML,UDF,987,2025
G10021_8,G10021,Thrikkalangode,8,Pulath,Ruksana,Malappuram,Grama Panchayat,IND,OTH,894,2025
G10021_9,G10021,Thrikkalangode,9,Edakkad,Anoopa,Malappuram,Grama Panchayat,CPI(M),LDF,708,2025
G10021_10,G10021,Thrikkalangode,10,Pathirikkode,Sujisha,Malappuram,Grama Panchayat,INC,UDF,842,2025
G10021_11,G10021,Thrikkalangode,11,Peleppuram,Rajla,Malappuram,Grama Panchayat,IND,OTH,824,2025
G10021_12,G10021,Thrikkalangode,12,Charankavu,Praju,Malappuram,Grama Panchayat,IND,OTH,787,2025
G10021_13,G10021,Thrikkalangode,13,Cherukulam,Ramlath,Malappuram,Grama Panchayat,IUML,UDF,1049,2025
G10021_14,G10021,Thrikkalangode,14,Kuttasseri,Anvarkoya Thangal,Malappuram,Grama Panchayat,IUML,UDF,901,2025
G10021_15,G10021,Thrikkalangode,15,Mailooth,Renjini C P,Malappuram,Grama Panchayat,INC,UDF,710,2025
G10021_16,G10021,Thrikkalangode,16,Cheramkuth,Vimala,Malappuram,Grama Panchayat,CPI(M),LDF,901,2025
G10021_17,G10021,Thrikkalangode,17,Manhappatta,Rubeena,Malappuram,Grama Panchayat,IUML,UDF,1040,2025
G10021_18,G10021,Thrikkalangode,18,Koomamkulam,Lilli,Malappuram,Grama Panchayat,INC,UDF,847,2025
G10021_19,G10021,Thrikkalangode,19,Ayyamkode,Abdul  Razaq,Malappuram,Grama Panchayat,IND,OTH,928,2025
G10021_20,G10021,Thrikkalangode,20,Karikkad,Sudheesh Kumar,Malappuram,Grama Panchayat,CPI(M),LDF,787,2025
G10021_21,G10021,Thrikkalangode,21,Thrikkalangode,Fahmida,Malappuram,Grama Panchayat,INC,UDF,829,2025
G10021_22,G10021,Thrikkalangode,22,Marathani,Jaleel,Malappuram,Grama Panchayat,IUML,UDF,780,2025
G10021_23,G10021,Thrikkalangode,23,Anakkottupuram,Aramiyah,Malappuram,Grama Panchayat,IUML,UDF,894,2025
G10021_24,G10021,Thrikkalangode,24,Nellikkunnu,Nishada K P,Malappuram,Grama Panchayat,IUML,UDF,1052,2025
G10088_1,G10088,Thriprangode,1,Vellamasseri,Sudha,Malappuram,Grama Panchayat,CPI(M),LDF,668,2025
G10088_2,G10088,Thriprangode,2,Poozhikunnu,Sumayyath,Malappuram,Grama Panchayat,CPI(M),LDF,476,2025
G10088_3,G10088,Thriprangode,3,Poyilisseri,Arifa,Malappuram,Grama Panchayat,CPI(M),LDF,643,2025
G10088_4,G10088,Thriprangode,4,Kainikkara,Fousiya,Malappuram,Grama Panchayat,IUML,UDF,680,2025
G10088_5,G10088,Thriprangode,5,Nallisseri,Shaukkathali Kunnath,Malappuram,Grama Panchayat,IUML,UDF,582,2025
G10088_6,G10088,Thriprangode,6,Anappadi,Fousiya,Malappuram,Grama Panchayat,INC,UDF,634,2025
G10088_7,G10088,Thriprangode,7,Beeranchira,Thabseera Mol,Malappuram,Grama Panchayat,IUML,UDF,652,2025
G10088_8,G10088,Thriprangode,8,Palothuparamba,Mujeeb Poolakkal,Malappuram,Grama Panchayat,IUML,UDF,579,2025
G10088_9,G10088,Thriprangode,9,Cheriyaparapoor,Muhammed Haneefa,Malappuram,Grama Panchayat,IUML,UDF,905,2025
G10088_10,G10088,Thriprangode,10,Chamravattom North,Haidarali,Malappuram,Grama Panchayat,IUML,UDF,884,2025
G10088_11,G10088,Thriprangode,11,Chamravattom South,Manojkumar. Av,Malappuram,Grama Panchayat,INC,UDF,570,2025
G10088_12,G10088,Thriprangode,12,Karumathil,Muhammadshafi,Malappuram,Grama Panchayat,IUML,UDF,657,2025
G10088_13,G10088,Thriprangode,13,Kurikkal Padi,Safiya,Malappuram,Grama Panchayat,IUML,UDF,692,2025
G10088_14,G10088,Thriprangode,14,Perunthallur South,Nazeeba,Malappuram,Grama Panchayat,CPI(M),LDF,626,2025
G10088_15,G10088,Thriprangode,15,Perunthallur North,Muneer,Malappuram,Grama Panchayat,CPI(M),LDF,743,2025
G10088_16,G10088,Thriprangode,16,Triprangode,Sajith Anatt ( Kuttan ),Malappuram,Grama Panchayat,CPI(M),LDF,696,2025
G10088_17,G10088,Thriprangode,17,Alingal,Sameer Edasseri,Malappuram,Grama Panchayat,IUML,UDF,932,2025
G10088_18,G10088,Thriprangode,18,Pottodi,Shafi Vakkayil,Malappuram,Grama Panchayat,IUML,UDF,865,2025
G10088_19,G10088,Thriprangode,19,Kaimalasseri,Abdul Majeed,Malappuram,Grama Panchayat,CPI(M),LDF,719,2025
G10088_20,G10088,Thriprangode,20,Thandillakkara,Manikandan,Malappuram,Grama Panchayat,IUML,UDF,637,2025
